通し番号,店名,開店年,開店_交代_raw,メニュー,価格_raw,価格円
42,柏店,2023.0,2023,大W,（1550）,1550.0
4,新宿歌舞伎町店,1997.0,1997,つけ,1050,1050.0
6,新宿小滝橋通り店,1999.0,1999,つけ,1200,1200.0
8,八王子野猿街道店２,2000.0,2000,つけ,1150,1150.0
12,府中店,2001.0,2001,つけ,1100,1100.0
17,京成大久保店,2002.0,2002,つけ,1080,1080.0
19,相模大野店,2003.0,2003,つけ,1150,1150.0
24,栃木街道店,2007.0,2007,つけ,（1100） 夏季,1100.0
27,湘南藤沢店,2010.0,2010,つけ,（1090） 夏季,1090.0
31,札幌店,2013.0,2013,つけ,1050 ※18,1050.0
32,会津若松駅前店,2014.0,2014,つけ,（1400）,1400.0
42,柏店,2023.0,2023,つけ,（1150）,1150.0
44,朝倉街道駅前店,2024.0,2024,つけ,（1000）,1000.0
4,新宿歌舞伎町店,1997.0,1997,ビール,500,500.0
5,品川店,1997.0,1997,ビール,300,300.0
6,新宿小滝橋通り店,1999.0,1999,ビール,600,600.0
8,八王子野猿街道店２,2000.0,2000,ビール,300,300.0
12,府中店,2001.0,2001,ビール,350,350.0
28,西台駅前店,2010.0,2010,ビール,400 ※22,400.0
42,柏店,2023.0,2023,ビール,300 ※41,300.0
